Дата;Категория;Название;Сумма
2024-04-18;Здоровье;Апрельские процедуры;2800.00
2024-05-18;Транспорт;Майские поездки;3500.00
2024-06-18;Продукты;Июньские деликатесы;2200.00
2024-07-18;Образование;Июльские курсы;4000.00
2024-08-18;Одежда;Августовские обновки;3800.00
2024-09-18;Дом;Сентябрьское обустройство;5000.00
2024-10-18;Развлечения;Октябрьские мероприятия;2800.00
2024-11-18;Здоровье;Ноябрьская профилактика;2200.00
2024-12-18;Транспорт;Декабрьские поездки;4200.00
2024-01-28;Продукты;Январские деликатесы;2500.00
2024-02-28;Образование;Февральские мастер-классы;3200.00
2024-03-28;Одежда;Мартовские обновки;4800.00
2024-04-28;Дом;Апрельское благоустройство;6000.00
2024-05-28;Развлечения;Майские праздники;3500.00
2024-06-28;Здоровье;Июньские процедуры;2800.00
2024-07-28;Транспорт;Июльские путешествия;5500.00
2024-08-28;Продукты;Августовские заготовки;2200.00
2024-09-28;Образование;Сентябрьские курсы;3800.00
2024-10-28;Одежда;Октябрьские покупки;4200.00
2024-11-28;Дом;Ноябрьские улучшения;3500.00
2024-12-28;Развлечения;Декабрьские празднования;4500.00
2024-03-08;Здоровье;Женский день;2000.00
2024-05-09;Транспорт;День Победы;1500.00
2024-06-12;Продукты;День России;2800.00
2024-11-04;Образование;День народного единства;2200.00
2024-01-07;Одежда;Рождественские каникулы;3500.00
2024-02-23;Дом;День защитника Отечества;2500.00
2024-04-01;Развлечения;День смеха;1800.00
2024-09-01;Здоровье;День знаний;3000.00
2024-10-05;Транспорт;День учителя;1200.00
2024-12-31;Продукты;Новый год;6000.00
2024-01-03;Продукты;Супермаркет;2847.52
2024-01-05;Транспорт;Проездной билет;1200.00
2024-01-07;Развлечения;Кафе с друзьями;1856.34
2024-01-09;Дом;Коммунальные услуги;4500.00
2024-01-12;Одежда;Зимняя куртка;8900.00
2024-01-15;Продукты;Местный магазин;1234.67
2024-01-18;Здоровье;Аптека;789.45
2024-01-20;Развлечения;Боулинг;2100.00
2024-01-22;Транспорт;Такси;650.00
2024-01-25;Дом;Ремонт крана;3200.00
2024-01-28;Продукты;Продуктовый магазин;2156.89
2024-01-30;Образование;Курсы английского;5000.00
2024-02-02;Развлечения;Концерт;3500.00
2024-02-05;Одежда;Обувь;4200.00
2024-02-08;Продукты;Гипермаркет;3421.78
2024-02-10;Здоровье;Стоматолог;7500.00
2024-02-12;Транспорт;Бензин;2800.00
2024-02-15;Дом;Мебель для кухни;15000.00
2024-02-18;Развлечения;Ресторан;4567.23
2024-02-20;Продукты;Мясная лавка;1890.00
2024-02-22;Образование;Книги;1500.00
2024-02-25;Одежда;Рубашка;2300.00
2024-02-28;Здоровье;Витамины;1200.00
2024-03-02;Развлечения;Кинотеатр;1400.00
2024-03-05;Продукты;Овощи и фрукты;980.50
2024-03-08;Дом;Моющие средства;850.00
2024-03-10;Транспорт;Ремонт автомобиля;12000.00
2024-03-12;Одежда;Джинсы;3500.00
2024-03-15;Развлечения;Спортзал;4000.00
2024-03-18;Продукты;Деликатесы;2100.00
2024-03-20;Здоровье;Медицинский осмотр;3500.00
2024-03-22;Образование;Семинар;2500.00
2024-03-25;Дом;Электроника;8900.00
2024-03-28;Развлечения;Парк развлечений;3200.00
2024-03-30;Продукты;Хлебобулочные изделия;450.00
2024-04-02;Транспорт;Метро;800.00
2024-04-05;Одежда;Спортивная одежда;5600.00
2024-04-08;Развлечения;Театр;2800.00
2024-04-10;Продукты;Молочные продукты;1200.00
2024-04-12;Дом;Постельное белье;3400.00
2024-04-15;Здоровье;Лекарства;980.00
2024-04-18;Развлечения;Кинотеатр;1349.36
2024-04-20;Образование;Онлайн-курс;3000.00
2024-04-22;Продукты;Рыба и морепродукты;2500.00
2024-04-25;Транспорт;Парковка;600.00
2024-04-27;Развлечения;Театр;4176.13
2024-04-28;Одежда;Покупка одежды;2408.40
2024-04-30;Дом;Инструменты;1800.00
2024-05-03;Продукты;Органические продукты;3200.00
2024-05-05;Здоровье;Массаж;2500.00
2024-05-08;Развлечения;Музей;800.00
2024-05-10;Транспорт;Автобус;200.00
2024-05-12;Одежда;Аксессуары;1500.00
2024-05-15;Дом;Растения;1200.00
2024-05-16;Дом;Покупка бытовой химии;2842.11
2024-05-18;Образование;Мастер-класс;2000.00
2024-05-20;Продукты;Замороженные продукты;1600.00
2024-05-22;Развлечения;Выставка;1200.00
2024-05-25;Здоровье;Фитнес-центр;3500.00
2024-05-28;Транспорт;Каршеринг;800.00
2024-05-30;Одежда;Летняя одежда;4200.00
2024-06-02;Продукты;Итальянский магазин;2800.00
2024-06-05;Дом;Посуда;2200.00
2024-06-08;Развлечения;Караоке;1800.00
2024-06-10;Здоровье;Косметолог;4000.00
2024-06-12;Транспорт;Велосипед;15000.00
2024-06-15;Образование;Языковая школа;6000.00
2024-06-18;Продукты;Азиатская кухня;1900.00
2024-06-20;Одежда;Купальник;2500.00
2024-06-22;Развлечения;Аквапарк;3500.00
2024-06-25;Дом;Кондиционер;25000.00
2024-06-28;Здоровье;Окулист;2000.00
2024-06-30;Продукты;Барбекю продукты;3200.00
2024-07-03;Транспорт;Поезд;2500.00
2024-07-05;Развлечения;Пляжный клуб;4500.00
2024-07-08;Одежда;Сандалии;1800.00
2024-07-10;Дом;Садовый инвентарь;3500.00
2024-07-12;Продукты;Фермерский рынок;2100.00
2024-07-15;Здоровье;Спортивная медицина;3000.00
2024-07-18;Развлечения;Фестиваль;2800.00
2024-07-20;Образование;Летняя школа;8000.00
2024-07-22;Транспорт;Аренда автомобиля;5000.00
2024-07-25;Продукты;Мороженое;400.00
2024-07-28;Одежда;Пляжная одежда;3200.00
2024-07-30;Дом;Вентилятор;4500.00
2024-08-02;Развлечения;Зоопарк;1500.00
2024-08-05;Здоровье;Дерматолог;2800.00
2024-08-08;Продукты;Пикник;1800.00
2024-08-10;Транспорт;Электросамокат;12000.00
2024-08-12;Образование;Творческая мастерская;2500.00
2024-08-15;Одежда;Школьная форма;6000.00
2024-08-18;Дом;Школьные принадлежности;3200.00
2024-08-20;Развлечения;Цирк;2200.00
2024-08-22;Продукты;Консервы;1200.00
2024-08-25;Здоровье;Педиатр;2500.00
2024-08-28;Транспорт;Школьный автобус;1500.00
2024-08-30;Развлечения;Кино на открытом воздухе;1000.00
2024-09-02;Образование;Школьные учебники;4500.00
2024-09-05;Продукты;Школьные обеды;2800.00
2024-09-08;Одежда;Осенняя куртка;7500.00
2024-09-10;Дом;Отопление;3500.00
2024-09-12;Здоровье;Прививки;1800.00
2024-09-15;Развлечения;Осенний фестиваль;2200.00
2024-09-18;Транспорт;Общественный транспорт;1000.00
